x,y,om,blE,gM,s,t 
518000,2858500,8.444444444,0,91.55555556,0,0
518030,2858500,6.666666667,0,93.33333333,0,0
518060,2858500,20.88888889,43.11111111,36,0,0
518090,2858500,0,93.33333333,6.666666667,0,0
518120,2858500,0.444444444,28,71.55555556,0,0
518150,2858500,2.666666667,4.444444444,92.88888889,0,0
518180,2858500,4,6.666666667,89.33333333,0,0
518210,2858500,1.333333333,12.44444444,86.22222222,0,0
518240,2858500,7.111111111,72.44444444,20.44444444,0,0
518270,2858500,0,84.88888889,15.11111111,0,0
518300,2858500,4.888888889,30.22222222,64.88888889,0,0
518330,2858500,14.22222222,78.66666667,7.111111111,0,0
518360,2858500,3.555555556,34.66666667,61.77777778,0,0
518390,2858500,0.444444444,0,99.55555556,0,0
518420,2858500,13.77777778,17.33333333,68.88888889,0,0
518450,2858500,20.44444444,67.55555556,12,0,0
518480,2858500,0,93.33333333,6.666666667,0,0
518510,2858500,0.888888889,90.22222222,8.888888889,0,0
518540,2858500,3.111111111,60.88888889,36,0,0
518570,2858500,0,79.55555556,20.44444444,0,0
518600,2858500,3.111111111,19.11111111,77.77777778,0,0
518630,2858500,8,7.111111111,84.44444444,0.444444444,0
518660,2858500,0.888888889,0.444444444,98.66666667,0,0
518690,2858500,0,0,100,0,0
518720,2858500,21.77777778,46.22222222,32,0,0
518750,2858500,4.444444444,88.88888889,6.666666667,0,0
518780,2858500,0.888888889,88,11.11111111,0,0
518810,2858500,4,0,96,0,0
518840,2858500,0,0,100,0,0
518870,2858500,0,0,100,0,0
518900,2858500,0,35.11111111,64.88888889,0,0
518930,2858500,0,92.44444444,7.555555556,0,0
518960,2858500,0,13.33333333,86.66666667,0,0
518990,2858500,0,0,100,0,0
519020,2858500,0,0,100,0,0
519050,2858500,0,0,100,0,0
519080,2858500,0,0.888888889,99.11111111,0,0
519110,2858500,21.33333333,29.33333333,49.33333333,0,0
519140,2858500,35.55555556,21.33333333,43.11111111,0,0
519170,2858500,18.22222222,9.777777778,72,0,0
519200,2858500,46.22222222,3.555555556,6.666666667,42.66666667,0.888888889
519230,2858500,12.88888889,0,6.666666667,80.44444444,0
519260,2858500,16,0.444444444,6.666666667,75.55555556,1.333333333
519290,2858500,16.44444444,0,6.666666667,76.88888889,0
519320,2858500,26.22222222,32.44444444,19.55555556,21.77777778,0
519350,2858500,25.33333333,61.33333333,10.66666667,2.666666667,0
519380,2858500,14.22222222,64,21.77777778,0,0
519410,2858500,21.33333333,45.77777778,32.88888889,0,0
519440,2858500,5.777777778,51.11111111,43.11111111,0,0
519470,2858500,28,48,23.11111111,0.888888889,0
519500,2858500,13.77777778,28.88888889,57.33333333,0,0
519530,2858500,47.11111111,31.55555556,21.33333333,0,0
519560,2858500,22.22222222,57.33333333,20.44444444,0,0
519590,2858500,17.77777778,3.555555556,78.66666667,0,0
519620,2858500,13.77777778,5.777777778,80.44444444,0,0
519650,2858500,53.77777778,24.88888889,21.33333333,0,0
519680,2858500,23.11111111,3.111111111,73.77777778,0,0
519710,2858500,13.77777778,28.44444444,57.77777778,0,0
519740,2858500,4.888888889,3.111111111,92,0,0
519770,2858500,1.777777778,0,98.22222222,0,0
519800,2858500,3.111111111,0,96.88888889,0,0
519830,2858500,1.333333333,0,98.66666667,0,0
519860,2858500,0,0,100,0,0
519890,2858500,12.88888889,0,87.11111111,0,0
519920,2858500,0,0,100,0,0
519950,2858500,0,13.33333333,85.77777778,0.888888889,0
519980,2858500,1.777777778,0,98.22222222,0,0
520010,2858500,31.11111111,0,68.88888889,0,0
520040,2858500,7.555555556,44.44444444,48,0,0
520070,2858500,0,93.33333333,6.666666667,0,0
520100,2858500,0,93.33333333,6.666666667,0,0
520130,2858500,12.88888889,60.44444444,9.333333333,17.33333333,0
520160,2858500,14.22222222,32,11.55555556,42.22222222,0
520190,2858500,8.444444444,35.55555556,56,0,0
520220,2858500,0,0,100,0,0
520250,2858500,1.777777778,0,98.22222222,0,0
520280,2858500,0,0,100,0,0
520310,2858500,0,2.666666667,97.33333333,0,0
520340,2858500,3.111111111,42.22222222,54.66666667,0,0
520370,2858500,1.333333333,92,6.666666667,0,0
520400,2858500,14.66666667,13.77777778,71.55555556,0,0
520430,2858500,6.666666667,43.55555556,49.77777778,0,0
520460,2858500,20.44444444,70.22222222,9.333333333,0,0
520490,2858500,0.888888889,91.11111111,8,0,0
520520,2858500,2.666666667,46.66666667,50.66666667,0,0
520550,2858500,0,28,72,0,0
520580,2858500,0,93.33333333,6.666666667,0,0
520610,2858500,0,93.33333333,6.666666667,0,0
520640,2858500,0,59.11111111,40.88888889,0,0
520670,2858500,1.777777778,9.333333333,88.88888889,0,0
520700,2858500,0,19.11111111,80.88888889,0,0
520730,2858500,6.666666667,0,92.88888889,0,0.444444444
520760,2858500,0,40,60,0,0
520790,2858500,2.666666667,89.77777778,7.555555556,0,0
520820,2858500,5.777777778,40.88888889,53.33333333,0,0
520850,2858500,0.444444444,70.66666667,28.88888889,0,0
520880,2858500,0.444444444,23.11111111,76.44444444,0,0
520910,2858500,2.666666667,38.22222222,59.11111111,0,0
