"","x","y","A","B","C"
"1",0,0,22.2222222222222,77.7777777777778,0
"2",3,0,11.1111111111111,88.8888888888889,0
"3",6,0,0,66.6666666666667,33.3333333333333
"4",9,0,0,11.1111111111111,88.8888888888889
"5",12,0,0,77.7777777777778,22.2222222222222
"6",15,0,0,100,0
"7",18,0,0,100,0
"8",21,0,0,88.8888888888889,11.1111111111111
"9",24,0,0,33.3333333333333,66.6666666666667
"10",0,3,100,0,0
"11",3,3,66.6666666666667,33.3333333333333,0
"12",6,3,11.1111111111111,88.8888888888889,0
"13",9,3,0,88.8888888888889,11.1111111111111
"14",12,3,0,100,0
"15",15,3,0,100,0
"16",18,3,0,100,0
"17",21,3,0,100,0
"18",24,3,0,77.7777777777778,22.2222222222222
"19",0,6,100,0,0
"20",3,6,100,0,0
"21",6,6,77.7777777777778,22.2222222222222,0
"22",9,6,11.1111111111111,88.8888888888889,0
"23",12,6,0,100,0
"24",15,6,0,88.8888888888889,11.1111111111111
"25",18,6,0,66.6666666666667,33.3333333333333
"26",21,6,0,77.7777777777778,22.2222222222222
"27",24,6,0,22.2222222222222,77.7777777777778
"28",0,9,100,0,0
"29",3,9,100,0,0
"30",6,9,100,0,0
"31",9,9,11.1111111111111,88.8888888888889,0
"32",12,9,0,100,0
"33",15,9,0,66.6666666666667,33.3333333333333
"34",18,9,0,0,100
"35",21,9,0,0,100
"36",24,9,0,0,100
"37",0,12,100,0,0
"38",3,12,100,0,0
"39",6,12,88.8888888888889,11.1111111111111,0
"40",9,12,0,100,0
"41",12,12,0,88.8888888888889,11.1111111111111
"42",15,12,0,11.1111111111111,88.8888888888889
"43",18,12,0,0,100
"44",21,12,0,0,100
"45",24,12,0,0,100
"46",0,15,100,0,0
"47",3,15,100,0,0
"48",6,15,77.7777777777778,22.2222222222222,0
"49",9,15,0,100,0
"50",12,15,0,77.7777777777778,22.2222222222222
"51",15,15,0,11.1111111111111,88.8888888888889
"52",18,15,0,0,100
"53",21,15,0,0,100
"54",24,15,0,0,100
"55",0,18,100,0,0
"56",3,18,100,0,0
"57",6,18,66.6666666666667,33.3333333333333,0
"58",9,18,11.1111111111111,88.8888888888889,0
"59",12,18,0,100,0
"60",15,18,0,66.6666666666667,33.3333333333333
"61",18,18,0,0,100
"62",21,18,0,0,100
"63",24,18,0,0,100
"64",0,21,100,0,0
"65",3,21,100,0,0
"66",6,21,55.5555555555556,44.4444444444444,0
"67",9,21,44.4444444444444,55.5555555555556,0
"68",12,21,33.3333333333333,66.6666666666667,0
"69",15,21,0,100,0
"70",18,21,0,33.3333333333333,66.6666666666667
"71",21,21,0,0,100
"72",24,21,0,22.2222222222222,77.7777777777778
"73",0,24,55.5555555555556,44.4444444444444,0
"74",3,24,100,0,0
"75",6,24,66.6666666666667,33.3333333333333,0
"76",9,24,55.5555555555556,44.4444444444444,0
"77",12,24,22.2222222222222,77.7777777777778,0
"78",15,24,11.1111111111111,88.8888888888889,0
"79",18,24,0,88.8888888888889,11.1111111111111
"80",21,24,0,44.4444444444444,55.5555555555556
"81",24,24,0,88.8888888888889,11.1111111111111
